date,id,kind,entry_number,name,country,biko,image_url,rank,point
2020-07-08,00002621,LOCAL,113,しろい地底王国忍者じねんじゃー,千葉県,白井の自然薯を応援する会,https://www.yurugp.jp/img/uploads/character/200/00002621.jpg,13,2575
2020-07-08,00003110,LOCAL,114,モミじん,福井県,福井県美浜町新庄,https://www.yurugp.jp/img/uploads/character/200/00003110.jpg,249,40
2020-07-08,00001442,LOCAL,115,ひらちゃん・ぼうちゃん,鹿児島県,ひらぼうほたるの里,https://www.yurugp.jp/img/uploads/character/200/00001442.jpg,356,10
2020-07-08,00000773,COMPANY,116,さんきゅうさん,神奈川県,横浜 妙深寺,https://www.yurugp.jp/img/uploads/character/200/00000773.jpg,286,0
2020-07-08,00002699,LOCAL,117,くまじいとおくまちゃん,東京都,武蔵府中熊野神社古墳保存会,https://www.yurugp.jp/img/uploads/character/200/00002699.jpg,280,29
2020-07-08,00002670,LOCAL,118,うなぎいもの　うなも,静岡県,うなぎいも協同組合,https://www.yurugp.jp/img/uploads/character/200/00002670.jpg,17,1942
2020-07-08,00003783,COMPANY,119,きたしんくん,大阪府,北おおさか信用金庫,https://www.yurugp.jp/img/uploads/character/200/00003783.jpg,9,4944
2020-07-08,00002295,LOCAL,120,甲府昭和高校生徒会　トライス（TRYS）,山梨県,山梨県立甲府昭和高等学校　生徒会,https://www.yurugp.jp/img/uploads/character/200/00002295.jpg,325,16
2020-07-08,00004025,LOCAL,121,かどっぴ－親子,宮崎県,門川町観光協会,https://www.yurugp.jp/img/uploads/character/200/00004025.jpg,51,416
2020-07-08,00000265,LOCAL,122,さばにゃん,福井県,さばにゃん本舗,https://www.yurugp.jp/img/uploads/character/200/00000265.jpg,227,53
2020-07-08,00003269,LOCAL,123,笠やん,京都府,笠やん倶楽部,https://www.yurugp.jp/img/uploads/character/200/00003269.jpg,84,218
2020-07-08,00001038,LOCAL,124,たいみー,三重県,南伊勢町,https://www.yurugp.jp/img/uploads/character/200/00001038.jpg,135,130
2020-07-08,00001030,LOCAL,125,かきたん,和歌山県,JA紀北かわかみ,https://www.yurugp.jp/img/uploads/character/200/00001030.jpg,22,1238
2020-07-08,00001013,COMPANY,126,かにぼん,大阪府,かに道楽,https://www.yurugp.jp/img/uploads/character/200/00001013.jpg,135,124
2020-07-08,00000205,LOCAL,127,あいさいさん,愛知県,愛西市観光協会,https://www.yurugp.jp/img/uploads/character/200/00000205.jpg,289,27
2020-07-08,00003145,COMPANY,128,幸水ナシコ,福島県,ＮＥＸＣＯ東日本　東北支社　いわき管理事務所,https://www.yurugp.jp/img/uploads/character/200/00003145.jpg,211,32
2020-07-08,00002478,LOCAL,129,”北の”ぺーちん・”中”ゆくりん・”城”まーい,沖縄県,北中城村,https://www.yurugp.jp/img/uploads/character/200/00002478.jpg,316,18
2020-07-08,00000197,LOCAL,130,伊奈ローズちゃん・伊奈ローズくん,埼玉県,（一社）伊奈町観光協会,https://www.yurugp.jp/img/uploads/character/200/00000197.jpg,265,34
2020-07-08,00003087,LOCAL,131,ふくちゃん,大阪府,四條畷警察署管内事業場防犯協会,https://www.yurugp.jp/img/uploads/character/200/00003087.jpg,175,93
2020-07-08,00002794,LOCAL,132,くりちゃん,滋賀県,滋賀県栗東市,https://www.yurugp.jp/img/uploads/character/200/00002794.jpg,145,121
2020-07-08,00002455,COMPANY,133,がんばリュー,福井県,NPO法人恐竜のまち勝山応援隊,https://www.yurugp.jp/img/uploads/character/200/00002455.jpg,214,31
2020-07-08,00003714,LOCAL,134,まめたん,岐阜県,全国農業協同組合連合会岐阜県本部,https://www.yurugp.jp/img/uploads/character/200/00003714.jpg,371,6
2020-07-08,00002157,LOCAL,135,なみすけ・ナミー,東京都,杉並区,https://www.yurugp.jp/img/uploads/character/200/00002157.jpg,30,857
2020-07-08,00000786,LOCAL,136,つのぴょん,宮崎県,都農町観光協会,https://www.yurugp.jp/img/uploads/character/200/00000786.jpg,73,253
2020-07-08,00003401,LOCAL,137,まぐトル,和歌山県,串本町,https://www.yurugp.jp/img/uploads/character/200/00003401.jpg,331,14
2020-07-08,00000469,LOCAL,138,おつるちゃん,宮崎県,（一社）椎葉村観光協会,https://www.yurugp.jp/img/uploads/character/200/00000469.jpg,172,98
2020-07-08,00003142,LOCAL,139,キノピー,和歌山県,紀の国ふるさとづくり協議会,https://www.yurugp.jp/img/uploads/character/200/00003142.jpg,352,11
2020-07-08,00002969,LOCAL,140,なばりのひやわん,三重県,名張地区まちづくり協議会,https://www.yurugp.jp/img/uploads/character/200/00002969.jpg,149,113
2020-07-08,00003878,COMPANY,141,シュガラブちゃん,大阪府,コンペイトウ王国（大阪糖菓株式会社）,https://www.yurugp.jp/img/uploads/character/200/00003878.jpg,141,112
2020-07-08,00001166,LOCAL,142,みさっきー&みさきーちょ,大阪府,大阪府岬町,https://www.yurugp.jp/img/uploads/character/200/00001166.jpg,295,25
2020-07-08,00003046,LOCAL,143,こまちちゃん,秋田県,湯沢市役所産業振興部観光・ジオパーク推進課,https://www.yurugp.jp/img/uploads/character/200/00003046.jpg,320,17
2020-07-08,00000797,LOCAL,144,カーミン,兵庫県,神河町,https://www.yurugp.jp/img/uploads/character/200/00000797.jpg,50,426
2020-07-08,00002845,COMPANY,145,ナースのじぎくちゃん,兵庫県,公益社団法人兵庫県看護協会,https://www.yurugp.jp/img/uploads/character/200/00002845.jpg,111,185
